sample,raw,qc,denoising,read-merging,clustering,taxa-filter,rare-otus-filter,subsampling,lulu
Soil_DNA_incubated_soil_rainfed_rep2_R1,50000,49268,0,43344 (1236 uniques),42770 (1094 uniques),42751 (1090 uniques),42741 (1085 uniques),40226 (1085 uniques),40226 (1082 uniques)
Soil_RNA_incubated_soil_rainfed_rep1_R1,50000,48964,0,41502 (578 uniques),39037 (463 uniques),39021 (461 uniques),39021 (461 uniques),0,0
Soil_DNA_fresh_soil_irrigated_rep3_R1,50000,49241,0,41493 (1210 uniques),40903 (1105 uniques),40794 (1093 uniques),40772 (1082 uniques),40226 (1082 uniques),40226 (1082 uniques)
Soil_RNA_fresh_soil_irrigated_rep1_R1,50000,48914,0,40311 (693 uniques),40004 (609 uniques),39997 (608 uniques),39997 (608 uniques),0,0
Soil_RNA_reincubated_soil_rainfed_rep1_R1,50000,48129,0,44067 (619 uniques),41777 (475 uniques),41674 (473 uniques),41670 (471 uniques),40226 (471 uniques),40226 (470 uniques)
Soil_RNA_reincubated_soil_irrigated_rep1_R1,50000,48306,0,43468 (674 uniques),42867 (545 uniques),42867 (545 uniques),42867 (545 uniques),40226 (545 uniques),40226 (543 uniques)
Soil_RNA_incubated_soil_rainfed_rep3_R1,50000,48769,0,41040 (654 uniques),40182 (563 uniques),40130 (560 uniques),40128 (559 uniques),0,0
Soil_RNA_incubated_soil_irrigated_rep3_R1,50000,48982,0,41633 (806 uniques),41259 (684 uniques),41207 (682 uniques),41205 (681 uniques),40226 (681 uniques),40226 (680 uniques)
Soil_DNA_reincubated_soil_irrigated_rep3_R1,50000,49121,0,43619 (940 uniques),43297 (764 uniques),43027 (758 uniques),43017 (753 uniques),40226 (753 uniques),40226 (751 uniques)
Soil_DNA_incubated_soil_rainfed_rep1_R1,50000,48991,0,43753 (1314 uniques),42419 (1127 uniques),42250 (1113 uniques),42234 (1105 uniques),40226 (1105 uniques),40226 (1100 uniques)
Soil_RNA_reincubated_soil_rainfed_rep3_R1,50000,48379,0,43971 (591 uniques),40813 (456 uniques),40750 (453 uniques),40746 (451 uniques),40226 (451 uniques),40226 (450 uniques)
Soil_RNA_dreid_soil_irrigated_rep1_R1,50000,48229,0,43428 (690 uniques),42788 (566 uniques),42788 (566 uniques),42780 (562 uniques),40226 (562 uniques),40226 (561 uniques)
Soil_RNA_fresh_soil_irrigated_rep4_R1,50000,48926,0,41475 (679 uniques),41329 (589 uniques),41314 (588 uniques),41310 (586 uniques),40226 (586 uniques),40226 (586 uniques)
Soil_DNA_incubated_soil_rainfed_rep3_R1,50000,49175,0,44084 (1447 uniques),41590 (1247 uniques),41521 (1243 uniques),41505 (1235 uniques),40226 (1235 uniques),40226 (1230 uniques)
Soil_DNA_reincubated_soil_rainfed_rep1_R1,50000,49125,0,44221 (1111 uniques),42975 (938 uniques),42855 (928 uniques),42841 (921 uniques),40226 (921 uniques),40226 (919 uniques)
Soil_DNA_fresh_soil_irrigated_rep2_R1,50000,49206,0,42092 (1218 uniques),41341 (1084 uniques),41128 (1069 uniques),41096 (1053 uniques),40226 (1053 uniques),40226 (1051 uniques)
Soil_RNA_fresh_soil_rainfed_rep4_R1,50000,48964,0,40952 (657 uniques),40501 (576 uniques),40458 (575 uniques),40456 (574 uniques),40226 (574 uniques),40226 (572 uniques)
Soil_RNA_incubated_soil_rainfed_rep2_R1,50000,48802,0,41054 (670 uniques),40587 (566 uniques),40587 (566 uniques),40585 (565 uniques),40226 (565 uniques),40226 (559 uniques)
Soil_DNA_reincubated_soil_rainfed_rep3_R1,50000,49082,0,44104 (1185 uniques),43224 (1022 uniques),43012 (1007 uniques),43000 (1001 uniques),40226 (1001 uniques),40226 (1001 uniques)
Soil_DNA_reincubated_soil_irrigated_rep2_R1,50000,49041,0,43494 (930 uniques),42998 (741 uniques),42773 (731 uniques),42765 (727 uniques),40226 (727 uniques),40226 (723 uniques)
Soil_DNA_dreid_soil_irrigated_rep3_R1,50000,49309,0,44016 (973 uniques),43098 (830 uniques),43063 (824 uniques),43045 (815 uniques),40226 (815 uniques),40226 (809 uniques)
Soil_DNA_reincubated_soil_rainfed_rep2_R1,50000,49071,0,43670 (1126 uniques),43132 (988 uniques),43101 (981 uniques),43091 (976 uniques),40226 (976 uniques),40226 (975 uniques)
Soil_DNA_reincubated_soil_rainfed_rep4_R1,50000,49108,0,43541 (958 uniques),42819 (804 uniques),42589 (792 uniques),42579 (787 uniques),40226 (787 uniques),40226 (786 uniques)
Soil_DNA_fresh_soil_rainfed_rep3_R1,50000,49255,0,43118 (1250 uniques),42499 (1100 uniques),42374 (1090 uniques),42358 (1082 uniques),40226 (1082 uniques),40226 (1082 uniques)
Soil_DNA_dreid_soil_irrigated_rep1_R1,50000,49176,0,43663 (1001 uniques),42571 (844 uniques),42515 (840 uniques),42509 (837 uniques),40226 (837 uniques),40226 (837 uniques)
Soil_RNA_reincubated_soil_irrigated_rep3_R1,50000,48150,0,44088 (532 uniques),43201 (413 uniques),43193 (412 uniques),43193 (412 uniques),40226 (412 uniques),40226 (410 uniques)
Soil_DNA_reincubated_soil_irrigated_rep4_R1,50000,49060,0,43870 (1009 uniques),43434 (826 uniques),43281 (816 uniques),43273 (812 uniques),40226 (812 uniques),40226 (810 uniques)
Soil_RNA_dried_soil_rainfed_rep1_R1,50000,48472,0,43925 (596 uniques),41603 (469 uniques),41575 (467 uniques),41575 (467 uniques),40226 (467 uniques),40226 (464 uniques)
Soil_RNA_incubated_soil_irrigated_rep1_R1,50000,48923,0,41196 (729 uniques),40742 (636 uniques),40737 (635 uniques),40735 (634 uniques),40226 (634 uniques),40226 (634 uniques)
Soil_DNA_fresh_soil_irrigated_rep4_R1,50000,49239,0,42584 (1236 uniques),41994 (1119 uniques),41786 (1100 uniques),41770 (1092 uniques),40226 (1092 uniques),40226 (1090 uniques)
Soil_DNA_fresh_soil_rainfed_rep4_R1,50000,49283,0,42885 (1342 uniques),42343 (1209 uniques),42177 (1199 uniques),42145 (1183 uniques),40226 (1183 uniques),40226 (1182 uniques)
Soil_DNA_dried_soil_rainfed_rep2_R1,50000,49158,0,43730 (812 uniques),43044 (694 uniques),43035 (692 uniques),43027 (688 uniques),40226 (688 uniques),40226 (685 uniques)
Soil_DNA_incubated_soil_irrigated_rep3_R1,50000,49027,0,43543 (1493 uniques),43142 (1343 uniques),43078 (1334 uniques),43046 (1318 uniques),40226 (1318 uniques),40226 (1312 uniques)
Soil_RNA_fresh_soil_rainfed_rep1_R1,50000,48785,0,42442 (791 uniques),40951 (647 uniques),40892 (640 uniques),40884 (636 uniques),40226 (636 uniques),40226 (634 uniques)
Soil_RNA_fresh_soil_rainfed_rep2_R1,50000,49014,0,41120 (685 uniques),40805 (585 uniques),40788 (584 uniques),40788 (584 uniques),40226 (584 uniques),40226 (582 uniques)
Soil_RNA_incubated_soil_irrigated_rep4_R1,50000,48965,0,42289 (697 uniques),41742 (574 uniques),41739 (573 uniques),41737 (572 uniques),40226 (572 uniques),40226 (569 uniques)
Soil_DNA_incubated_soil_rainfed_rep4_R1,50000,49249,0,43696 (1382 uniques),43184 (1249 uniques),43108 (1238 uniques),43084 (1226 uniques),40226 (1225 uniques),40226 (1221 uniques)
Soil_DNA_fresh_soil_irrigated_rep1_R1,50000,49119,0,42764 (1311 uniques),42095 (1161 uniques),42033 (1156 uniques),42005 (1142 uniques),40226 (1142 uniques),40226 (1141 uniques)
Soil_RNA_incubated_soil_irrigated_rep2_R1,50000,48812,0,41321 (705 uniques),40817 (614 uniques),40813 (613 uniques),40811 (612 uniques),40226 (612 uniques),40226 (610 uniques)
Soil_DNA_dreid_soil_irrigated_rep4_R1,50000,49292,0,44208 (969 uniques),43234 (814 uniques),43158 (809 uniques),43138 (799 uniques),40226 (799 uniques),40226 (795 uniques)
Soil_DNA_fresh_soil_rainfed_rep2_R1,50000,49188,0,42256 (1122 uniques),41582 (994 uniques),41514 (989 uniques),41502 (983 uniques),40226 (983 uniques),40226 (983 uniques)
Soil_RNA_fresh_soil_rainfed_rep3_R1,50000,48865,0,41014 (612 uniques),40131 (517 uniques),40110 (516 uniques),40108 (515 uniques),0,0
Soil_RNA_reincubated_soil_irrigated_rep2_R1,50000,48535,0,44298 (570 uniques),43160 (441 uniques),43155 (440 uniques),43149 (437 uniques),40226 (437 uniques),40226 (435 uniques)
Soil_DNA_incubated_soil_irrigated_rep2_R1,50000,49216,0,43368 (1359 uniques),42735 (1185 uniques),42689 (1176 uniques),42667 (1165 uniques),40226 (1165 uniques),40226 (1162 uniques)
Soil_RNA_fresh_soil_irrigated_rep2_R1,50000,48921,0,40125 (595 uniques),39876 (514 uniques),39749 (511 uniques),39749 (511 uniques),0,0
Soil_RNA_dreid_soil_irrigated_rep3_R1,50000,48611,0,43834 (659 uniques),42919 (532 uniques),42919 (532 uniques),42913 (529 uniques),40226 (529 uniques),40226 (525 uniques)
Soil_RNA_dreid_soil_irrigated_rep4_R1,50000,48416,0,44050 (687 uniques),42728 (548 uniques),42728 (548 uniques),42720 (544 uniques),40226 (544 uniques),40226 (538 uniques)
Soil_DNA_fresh_soil_rainfed_rep1_R1,50000,49278,0,43350 (1394 uniques),42013 (1229 uniques),41795 (1207 uniques),41753 (1186 uniques),40226 (1186 uniques),40226 (1183 uniques)
Soil_RNA_incubated_soil_rainfed_rep4_R1,50000,48931,0,41241 (648 uniques),39960 (563 uniques),39953 (561 uniques),39951 (560 uniques),0,0
Soil_RNA_dreid_soil_irrigated_rep2_R1,50000,48368,0,43627 (639 uniques),41936 (516 uniques),41936 (516 uniques),41926 (511 uniques),40226 (511 uniques),40226 (507 uniques)
Soil_RNA_reincubated_soil_irrigated_rep4_R1,50000,48429,0,44320 (523 uniques),43136 (390 uniques),43134 (389 uniques),43134 (389 uniques),40226 (389 uniques),40226 (388 uniques)
Soil_RNA_fresh_soil_irrigated_rep3_R1,50000,48737,0,40182 (677 uniques),39954 (591 uniques),39936 (589 uniques),39934 (588 uniques),0,0
Soil_DNA_reincubated_soil_irrigated_rep1_R1,50000,48942,0,43524 (1121 uniques),43100 (930 uniques),42895 (918 uniques),42891 (916 uniques),40226 (916 uniques),40226 (914 uniques)
Soil_RNA_dried_soil_rainfed_rep3_R1,50000,48402,0,43483 (644 uniques),41124 (525 uniques),41118 (524 uniques),41116 (523 uniques),40226 (523 uniques),40226 (519 uniques)
Soil_DNA_dried_soil_rainfed_rep4_R1,50000,49276,0,44325 (896 uniques),43422 (756 uniques),43398 (752 uniques),43386 (746 uniques),40226 (746 uniques),40226 (741 uniques)
Soil_DNA_dreid_soil_irrigated_rep2_R1,50000,49125,0,43980 (962 uniques),43218 (797 uniques),43181 (794 uniques),43171 (789 uniques),40226 (789 uniques),40226 (782 uniques)
Soil_RNA_dried_soil_rainfed_rep4_R1,50000,48502,0,43574 (589 uniques),41541 (485 uniques),41541 (485 uniques),41537 (483 uniques),40226 (483 uniques),40226 (479 uniques)
Soil_RNA_dried_soil_rainfed_rep2_R1,50000,48362,0,43267 (549 uniques),41739 (427 uniques),41739 (427 uniques),41735 (425 uniques),40226 (425 uniques),40226 (425 uniques)
Soil_DNA_incubated_soil_irrigated_rep4_R1,50000,49138,0,43893 (1320 uniques),43363 (1182 uniques),43314 (1175 uniques),43276 (1156 uniques),40226 (1156 uniques),40226 (1154 uniques)
Soil_DNA_dried_soil_rainfed_rep3_R1,50000,49121,0,44079 (953 uniques),43175 (811 uniques),43063 (803 uniques),43057 (800 uniques),40226 (800 uniques),40226 (796 uniques)
Soil_DNA_dried_soil_rainfed_rep1_R1,50000,49265,0,44429 (843 uniques),42994 (701 uniques),42991 (700 uniques),42987 (698 uniques),40226 (698 uniques),40226 (695 uniques)
Soil_RNA_reincubated_soil_rainfed_rep2_R1,50000,48702,0,43879 (610 uniques),42683 (487 uniques),42683 (487 uniques),42681 (486 uniques),40226 (486 uniques),40226 (483 uniques)
Soil_RNA_reincubated_soil_rainfed_rep4_R1,50000,48684,0,44384 (617 uniques),43094 (495 uniques),43088 (494 uniques),43082 (491 uniques),40226 (491 uniques),40226 (490 uniques)
Soil_DNA_incubated_soil_irrigated_rep1_R1,50000,49156,0,43364 (1386 uniques),42319 (1227 uniques),42312 (1225 uniques),42292 (1215 uniques),40226 (1215 uniques),40226 (1209 uniques)
Soil_RNA_reincubated_soil_rainfed_rep3_R1_R1,0,0,43971 (591 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep4_R1_R1,0,0,42289 (697 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_irrigated_rep2_R1_R1,0,0,42092 (1218 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep4_R1_R1,0,0,44050 (687 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep3_R1_R1,0,0,41633 (806 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep2_R1_R1,0,0,44298 (570 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep1_R1_R1,0,0,43364 (1386 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep1_R1_R1,0,0,44429 (843 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_irrigated_rep1_R1_R1,0,0,42764 (1311 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_rainfed_rep4_R1_R1,0,0,42885 (1342 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_irrigated_rep2_R1_R1,0,0,43494 (930 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep1_R1_R1,0,0,43663 (1001 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_irrigated_rep3_R1_R1,0,0,41493 (1210 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep1_R1_R1,0,0,43753 (1314 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_rainfed_rep3_R1_R1,0,0,44104 (1185 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep2_R1_R1,0,0,41120 (685 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_rainfed_rep1_R1_R1,0,0,43350 (1394 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep1_R1_R1,0,0,41502 (578 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_irrigated_rep1_R1_R1,0,0,43524 (1121 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep1_R1_R1,0,0,43468 (674 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep4_R1_R1,0,0,40952 (657 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_irrigated_rep1_R1_R1,0,0,40311 (693 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_irrigated_rep4_R1_R1,0,0,41475 (679 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep3_R1_R1,0,0,44084 (1447 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_rainfed_rep2_R1_R1,0,0,42256 (1122 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_irrigated_rep4_R1_R1,0,0,43870 (1009 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_rainfed_rep1_R1_R1,0,0,44221 (1111 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_irrigated_rep3_R1_R1,0,0,40182 (677 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep1_R1_R1,0,0,43925 (596 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_rainfed_rep4_R1_R1,0,0,43541 (958 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep4_R1_R1,0,0,43574 (589 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep4_R1_R1,0,0,44325 (896 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep2_R1_R1,0,0,43879 (610 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep2_R1_R1,0,0,41321 (705 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep4_R1_R1,0,0,43893 (1320 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep4_R1_R1,0,0,43696 (1382 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_irrigated_rep4_R1_R1,0,0,42584 (1236 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep1_R1_R1,0,0,43428 (690 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_irrigated_rep1_R1_R1,0,0,41196 (729 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep3_R1_R1,0,0,43483 (644 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep2_R1_R1,0,0,43730 (812 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep1_R1_R1,0,0,44067 (619 uniques),0,0,0,0,0,0
Soil_DNA_dried_soil_rainfed_rep3_R1_R1,0,0,44079 (953 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_irrigated_rep2_R1_R1,0,0,40125 (595 uniques),0,0,0,0,0,0
Soil_DNA_fresh_soil_rainfed_rep3_R1_R1,0,0,43118 (1250 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep2_R1_R1,0,0,43980 (962 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep2_R1_R1,0,0,43627 (639 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep4_R1_R1,0,0,44208 (969 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_rainfed_rep4_R1_R1,0,0,44384 (617 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_rainfed_rep2_R1_R1,0,0,43670 (1126 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep3_R1_R1,0,0,44088 (532 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep3_R1_R1,0,0,41014 (612 uniques),0,0,0,0,0,0
Soil_RNA_dreid_soil_irrigated_rep3_R1_R1,0,0,43834 (659 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep4_R1_R1,0,0,41241 (648 uniques),0,0,0,0,0,0
Soil_RNA_fresh_soil_rainfed_rep1_R1_R1,0,0,42442 (791 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep2_R1_R1,0,0,43368 (1359 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep3_R1_R1,0,0,41040 (654 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_irrigated_rep3_R1_R1,0,0,43543 (1493 uniques),0,0,0,0,0,0
Soil_RNA_reincubated_soil_irrigated_rep4_R1_R1,0,0,44320 (523 uniques),0,0,0,0,0,0
Soil_RNA_incubated_soil_rainfed_rep2_R1_R1,0,0,41054 (670 uniques),0,0,0,0,0,0
Soil_DNA_incubated_soil_rainfed_rep2_R1_R1,0,0,43344 (1236 uniques),0,0,0,0,0,0
Soil_RNA_dried_soil_rainfed_rep2_R1_R1,0,0,43267 (549 uniques),0,0,0,0,0,0
Soil_DNA_dreid_soil_irrigated_rep3_R1_R1,0,0,44016 (973 uniques),0,0,0,0,0,0
Soil_DNA_reincubated_soil_irrigated_rep3_R1_R1,0,0,43619 (940 uniques),0,0,0,0,0,0
