"","RNA_dreid_irrigated_rep1_R1","RNA_dreid_irrigated_rep3_R1","RNA_dreid_irrigated_rep4_R1","RNA_dried_rainfed_rep1_R1","RNA_dried_rainfed_rep2_R1","RNA_dried_rainfed_rep3_R1","RNA_dried_rainfed_rep4_R1","RNA_fresh_irrigated_rep1_R1","RNA_fresh_irrigated_rep2_R1","RNA_fresh_irrigated_rep3_R1","RNA_fresh_irrigated_rep4_R1","RNA_fresh_rainfed_rep1_R1","RNA_fresh_rainfed_rep2_R1","RNA_fresh_rainfed_rep3_R1","RNA_fresh_rainfed_rep4_R1","RNA_incubated_irrigated_rep1_R1","RNA_incubated_irrigated_rep2_R1","RNA_incubated_irrigated_rep3_R1","RNA_incubated_irrigated_rep4_R1","RNA_incubated_rainfed_rep2_R1","RNA_reincubated_irrigated_rep1_R1","RNA_reincubated_irrigated_rep2_R1","RNA_reincubated_irrigated_rep3_R1","RNA_reincubated_irrigated_rep4_R1","RNA_reincubated_rainfed_rep1_R1","RNA_reincubated_rainfed_rep2_R1","RNA_reincubated_rainfed_rep3_R1","RNA_reincubated_rainfed_rep4_R1"
"RNA_dreid_irrigated_rep1_R1",0,0.543250124671592,0.539212079322535,0.539909800316128,0.515861719710446,0.507461433491512,0.512955546597482,0.577670673809508,0.670331495885805,0.681692883533168,0.659086062865835,0.638070756130704,0.613025568500917,0.619922575703015,0.662277708166576,0.511302530998225,0.619484916358478,0.609584494508106,0.607289547000568,0.566129096719926,0.557205659387604,0.691967333563153,0.669430392880149,0.653261138326448,0.628875714920316,0.579190427347568,0.622779132278586,0.662962490075851
"RNA_dreid_irrigated_rep3_R1",0.543250124671592,0,0.447406325424477,0.53243217417157,0.547669248761732,0.507394996762207,0.490537207896572,0.627129517469296,0.649033186593223,0.642327537380619,0.617354340827751,0.647817618215047,0.631826658051381,0.636413920163472,0.65985742663556,0.619702372059898,0.589861908795909,0.565917006342984,0.567888053080489,0.598447097386266,0.58751407581594,0.625721435693685,0.579089069281446,0.579626271620608,0.551996071016672,0.569733056323647,0.583212536428918,0.612171917773745
"RNA_dreid_irrigated_rep4_R1",0.539212079322535,0.447406325424477,0,0.487434540301701,0.549679459970008,0.478733116424507,0.482658142839994,0.604485935325663,0.639488595067385,0.647818875590291,0.592956427530689,0.600331170363713,0.627572495186563,0.600725181733489,0.651660718872329,0.594886282322428,0.556471655884522,0.572217369568325,0.516012848449197,0.576817154387244,0.587425703351463,0.649988593064401,0.633612312222563,0.58640278416031,0.57301832534448,0.58081730962457,0.583350970734539,0.610635922328003
"RNA_dried_rainfed_rep1_R1",0.539909800316128,0.53243217417157,0.487434540301701,0,0.503203088832687,0.467285343328492,0.487081767600789,0.622178191856942,0.671938480900254,0.669907044553765,0.6226953674678,0.570077992355953,0.61594576779951,0.60131131153563,0.65999759939643,0.590972460050611,0.602902094118439,0.593664701896169,0.578956421998474,0.570738989837275,0.592692373248449,0.675597876012057,0.663929728018569,0.62156086171901,0.523755095828391,0.565554668665183,0.593980124703277,0.651318238799035
"RNA_dried_rainfed_rep2_R1",0.515861719710446,0.547669248761732,0.549679459970008,0.503203088832687,0,0.493356099448688,0.510156821738374,0.612876149240396,0.683371531764765,0.681906212373058,0.650143320843504,0.637367649976687,0.590270616425294,0.622886989800333,0.660543990596338,0.581239389940652,0.635874810663117,0.619342957443356,0.604081766992466,0.535805498486025,0.597563511945682,0.680807084162559,0.655712230691024,0.625357799880497,0.604448619798789,0.522443931944741,0.608701729207729,0.641230675040565
"RNA_dried_rainfed_rep3_R1",0.507461433491512,0.507394996762207,0.478733116424507,0.467285343328492,0.493356099448688,0,0.433556485226806,0.583744593706143,0.665331480415782,0.663482903430298,0.62810063849861,0.597057689820738,0.604559982875671,0.577572828445009,0.633926028266992,0.5351451757956,0.581388000366479,0.573587102326983,0.550371685247258,0.526931791193841,0.562677407476381,0.657007066210497,0.649663456837281,0.614805921154441,0.583983649068017,0.554167560802751,0.562937458140586,0.600621260384994
"RNA_dried_rainfed_rep4_R1",0.512955546597482,0.490537207896572,0.482658142839994,0.487081767600789,0.510156821738374,0.433556485226806,0,0.635087075531343,0.647567986530413,0.65573653613292,0.642097673310256,0.634254628855304,0.644540176854728,0.585368924237466,0.633056525315001,0.588035877715618,0.576893791361839,0.574478039439771,0.558438977332421,0.547774964366224,0.570362978651899,0.648694991705675,0.622101251504232,0.583606111368567,0.581182230170124,0.541336640650991,0.548985743291682,0.576145126089209
"RNA_fresh_irrigated_rep1_R1",0.577670673809508,0.627129517469296,0.604485935325663,0.622178191856942,0.612876149240396,0.583744593706143,0.635087075531343,0,0.622031807060145,0.606427633485807,0.583228073907972,0.590634288338525,0.529894136993164,0.536590637788376,0.575646779992361,0.536517484963981,0.608740106141882,0.624164703205359,0.610520210269087,0.56987403405864,0.625397524907039,0.725673830403843,0.709065262180627,0.703545931447319,0.674718154228327,0.650878285371848,0.676713403258446,0.702209697916795
"RNA_fresh_irrigated_rep2_R1",0.670331495885805,0.649033186593223,0.639488595067385,0.671938480900254,0.683371531764765,0.665331480415782,0.647567986530413,0.622031807060145,0,0.526276277928433,0.507971006742426,0.566565328199033,0.610395049682225,0.574439017190961,0.532765942877332,0.669094163876477,0.589173932630814,0.639564277479976,0.613004305491001,0.655863367812386,0.689244307087542,0.67950991161151,0.695496933416901,0.670371241873206,0.668127852450281,0.670609840321462,0.668021851384649,0.673452600500545
"RNA_fresh_irrigated_rep3_R1",0.681692883533168,0.642327537380619,0.647818875590291,0.669907044553765,0.681906212373058,0.663482903430298,0.65573653613292,0.606427633485807,0.526276277928433,0,0.494381464246004,0.576968639367683,0.578979955546526,0.540061256338357,0.531749216749724,0.651137725517715,0.607368690993896,0.599868123253788,0.588406929493568,0.62891104022377,0.692544459341264,0.719955170794515,0.700775644680819,0.697602490989254,0.692115783864069,0.678803889814441,0.685308808341757,0.705201108645674
"RNA_fresh_irrigated_rep4_R1",0.659086062865835,0.617354340827751,0.592956427530689,0.6226953674678,0.650143320843504,0.62810063849861,0.642097673310256,0.583228073907972,0.507971006742426,0.494381464246004,0,0.493111136476199,0.536208642799304,0.514222446562333,0.525464718776521,0.632788248266533,0.572698230283336,0.596280964052732,0.53771650128697,0.603198112533196,0.689045238262049,0.723470876504392,0.713772368945024,0.680207099076513,0.673077700643743,0.671311346591952,0.682155425983787,0.701194568540015
"RNA_fresh_rainfed_rep1_R1",0.638070756130704,0.647817618215047,0.600331170363713,0.570077992355953,0.637367649976687,0.597057689820738,0.634254628855304,0.590634288338525,0.566565328199033,0.576968639367683,0.493111136476199,0,0.530361116998929,0.514881519781923,0.548856673162364,0.628616032175964,0.605890366485706,0.61941167750841,0.581403414000847,0.602491683778693,0.690682887594968,0.745104467472225,0.738657780431462,0.710517531751191,0.636213109879547,0.67466454148704,0.68418001021473,0.713344717752495
"RNA_fresh_rainfed_rep2_R1",0.613025568500917,0.631826658051381,0.627572495186563,0.61594576779951,0.590270616425294,0.604559982875671,0.644540176854728,0.529894136993164,0.610395049682225,0.578979955546526,0.536208642799304,0.530361116998929,0,0.524865276614796,0.577340043221784,0.577581329201392,0.634276140098463,0.635635656814167,0.611423007713953,0.555320169997463,0.675036266232177,0.747979090840706,0.730685176227,0.717846097375567,0.678219290516093,0.634484961890321,0.693033724264385,0.713417133459166
"RNA_fresh_rainfed_rep3_R1",0.619922575703015,0.636413920163472,0.600725181733489,0.60131131153563,0.622886989800333,0.577572828445009,0.585368924237466,0.536590637788376,0.574439017190961,0.540061256338357,0.514222446562333,0.514881519781923,0.524865276614796,0,0.500845908269758,0.582052573872015,0.589913545238397,0.599701079090292,0.565792106188833,0.56321186408927,0.655831072205182,0.714417858848959,0.69770161417417,0.680751024794749,0.656006883578269,0.633715145560918,0.647047410392569,0.666563394471668
"RNA_fresh_rainfed_rep4_R1",0.662277708166576,0.65985742663556,0.651660718872329,0.65999759939643,0.660543990596338,0.633926028266992,0.633056525315001,0.575646779992361,0.532765942877332,0.531749216749724,0.525464718776521,0.548856673162364,0.577340043221784,0.500845908269758,0,0.63405069719169,0.592966832630887,0.61759210188119,0.60370777566918,0.600510229216944,0.677033596260528,0.717368263264204,0.723109789870253,0.706527492332132,0.689418620733583,0.684053453359058,0.683245091410355,0.678534597912029
"RNA_incubated_irrigated_rep1_R1",0.511302530998225,0.619702372059898,0.594886282322428,0.590972460050611,0.581239389940652,0.5351451757956,0.588035877715618,0.536517484963981,0.669094163876477,0.651137725517715,0.632788248266533,0.628616032175964,0.577581329201392,0.582052573872015,0.63405069719169,0,0.577198228342214,0.559449453225849,0.552967112027765,0.495909058372196,0.594910385694634,0.719902351843925,0.711713318409702,0.682870022903972,0.660891134826253,0.626457976580067,0.649225485425319,0.669931961368608
"RNA_incubated_irrigated_rep2_R1",0.619484916358478,0.589861908795909,0.556471655884522,0.602902094118439,0.635874810663117,0.581388000366479,0.576893791361839,0.608740106141882,0.589173932630814,0.607368690993896,0.572698230283336,0.605890366485706,0.634276140098463,0.589913545238397,0.592966832630887,0.577198228342214,0,0.511141512705953,0.520229536767599,0.566453122520132,0.632385864804556,0.657150346501184,0.655190200832242,0.627411705859979,0.622700734211073,0.629443315181217,0.622963612246306,0.640958501519455
"RNA_incubated_irrigated_rep3_R1",0.609584494508106,0.565917006342984,0.572217369568325,0.593664701896169,0.619342957443356,0.573587102326983,0.574478039439771,0.624164703205359,0.639564277479976,0.599868123253788,0.596280964052732,0.61941167750841,0.635635656814167,0.599701079090292,0.61759210188119,0.559449453225849,0.511141512705953,0,0.466469250460124,0.553600150695353,0.624770708956067,0.683176476719612,0.650625702439625,0.646854582251857,0.615326918517743,0.632430070290819,0.638007436834333,0.651679844215406
"RNA_incubated_irrigated_rep4_R1",0.607289547000568,0.567888053080489,0.516012848449197,0.578956421998474,0.604081766992466,0.550371685247258,0.558438977332421,0.610520210269087,0.613004305491001,0.588406929493568,0.53771650128697,0.581403414000847,0.611423007713953,0.565792106188833,0.60370777566918,0.552967112027765,0.520229536767599,0.466469250460124,0,0.526475667949951,0.632101864667448,0.675284195358617,0.648135061761859,0.62727776239989,0.616225224563257,0.623919873058981,0.624927708616675,0.646726086327801
"RNA_incubated_rainfed_rep2_R1",0.566129096719926,0.598447097386266,0.576817154387244,0.570738989837275,0.535805498486025,0.526931791193841,0.547774964366224,0.56987403405864,0.655863367812386,0.62891104022377,0.603198112533196,0.602491683778693,0.555320169997463,0.56321186408927,0.600510229216944,0.495909058372196,0.566453122520132,0.553600150695353,0.526475667949951,0,0.590717947043677,0.687734554952552,0.673124692805169,0.643376409588593,0.613137431314447,0.540750291895122,0.605286600170573,0.636721333615693
"RNA_reincubated_irrigated_rep1_R1",0.557205659387604,0.58751407581594,0.587425703351463,0.592692373248449,0.597563511945682,0.562677407476381,0.570362978651899,0.625397524907039,0.689244307087542,0.692544459341264,0.689045238262049,0.690682887594968,0.675036266232177,0.655831072205182,0.677033596260528,0.594910385694634,0.632385864804556,0.624770708956067,0.632101864667448,0.590717947043677,0,0.538940800700415,0.519913219485007,0.479553168592877,0.498690013066541,0.475811292412462,0.432635129780143,0.480780305462089
"RNA_reincubated_irrigated_rep2_R1",0.691967333563153,0.625721435693685,0.649988593064401,0.675597876012057,0.680807084162559,0.657007066210497,0.648694991705675,0.725673830403843,0.67950991161151,0.719955170794515,0.723470876504392,0.745104467472225,0.747979090840706,0.714417858848959,0.717368263264204,0.719902351843925,0.657150346501184,0.683176476719612,0.675284195358617,0.687734554952552,0.538940800700415,0,0.433772142165165,0.437069058747463,0.526839839311693,0.581412870245507,0.503861543055664,0.465301935906948
"RNA_reincubated_irrigated_rep3_R1",0.669430392880149,0.579089069281446,0.633612312222563,0.663929728018569,0.655712230691024,0.649663456837281,0.622101251504232,0.709065262180627,0.695496933416901,0.700775644680819,0.713772368945024,0.738657780431462,0.730685176227,0.69770161417417,0.723109789870253,0.711713318409702,0.655190200832242,0.650625702439625,0.648135061761859,0.673124692805169,0.519913219485007,0.433772142165165,0,0.39694617817979,0.51640662791744,0.53585569754778,0.454211141144664,0.479005272077464
"RNA_reincubated_irrigated_rep4_R1",0.653261138326448,0.579626271620608,0.58640278416031,0.62156086171901,0.625357799880497,0.614805921154441,0.583606111368567,0.703545931447319,0.670371241873206,0.697602490989254,0.680207099076513,0.710517531751191,0.717846097375567,0.680751024794749,0.706527492332132,0.682870022903972,0.627411705859979,0.646854582251857,0.62727776239989,0.643376409588593,0.479553168592877,0.437069058747463,0.39694617817979,0,0.462758967926492,0.506592032670528,0.413504950609941,0.447651898635596
"RNA_reincubated_rainfed_rep1_R1",0.628875714920316,0.551996071016672,0.57301832534448,0.523755095828391,0.604448619798789,0.583983649068017,0.581182230170124,0.674718154228327,0.668127852450281,0.692115783864069,0.673077700643743,0.636213109879547,0.678219290516093,0.656006883578269,0.689418620733583,0.660891134826253,0.622700734211073,0.615326918517743,0.616225224563257,0.613137431314447,0.498690013066541,0.526839839311693,0.51640662791744,0.462758967926492,0,0.484257236959042,0.453067103482817,0.497466584054741
"RNA_reincubated_rainfed_rep2_R1",0.579190427347568,0.569733056323647,0.58081730962457,0.565554668665183,0.522443931944741,0.554167560802751,0.541336640650991,0.650878285371848,0.670609840321462,0.678803889814441,0.671311346591952,0.67466454148704,0.634484961890321,0.633715145560918,0.684053453359058,0.626457976580067,0.629443315181217,0.632430070290819,0.623919873058981,0.540750291895122,0.475811292412462,0.581412870245507,0.53585569754778,0.506592032670528,0.484257236959042,0,0.47011796975209,0.504576947901565
"RNA_reincubated_rainfed_rep3_R1",0.622779132278586,0.583212536428918,0.583350970734539,0.593980124703277,0.608701729207729,0.562937458140586,0.548985743291682,0.676713403258446,0.668021851384649,0.685308808341757,0.682155425983787,0.68418001021473,0.693033724264385,0.647047410392569,0.683245091410355,0.649225485425319,0.622963612246306,0.638007436834333,0.624927708616675,0.605286600170573,0.432635129780143,0.503861543055664,0.454211141144664,0.413504950609941,0.453067103482817,0.47011796975209,0,0.408008771274009
"RNA_reincubated_rainfed_rep4_R1",0.662962490075851,0.612171917773745,0.610635922328003,0.651318238799035,0.641230675040565,0.600621260384994,0.576145126089209,0.702209697916795,0.673452600500545,0.705201108645674,0.701194568540015,0.713344717752495,0.713417133459166,0.666563394471668,0.678534597912029,0.669931961368608,0.640958501519455,0.651679844215406,0.646726086327801,0.636721333615693,0.480780305462089,0.465301935906948,0.479005272077464,0.447651898635596,0.497466584054741,0.504576947901565,0.408008771274009,0
